,自動生成文
0,大変に疑わしい-７０度を維持されなかったワクチンを大丈夫として隠蔽されたものまで見切り品いたいに打たれるとか続出しそうじゃないか予防注射ひとつ満足に打てない国になった日本…むかしの役人ははすごかったんだなアナログ技術しかないのにちゃんと国を動かしていたのでよく分かった。
1,今は、この「2月下旬」に「できるだけ」という枕詞が付いた。
2,自分の(現実的な)任務やタスクを積極的に発信していた河野が何をわめこうが人がついていけるのか大変に疑わしい-７０度を維持されないワクチンとか打たれそうだな温度管理とスケジュール管理が１万箇所で疎漏無く出来るか大変に疑わしい-７０度を維持されなかったワクチンを大丈夫として隠蔽されたものまで見切り品いたいに打たれるとか続出しそうじゃないか予防注射ひとつ満足に打てない国になった日本…むかしの役人ははすごかったんだなアナログ技術しかないのにちゃんと国を動かしていた河野が何をわめこうが人がついていけるのか大変に疑わしい国民を納得させられなければ望む行動も期待できないし、協力も引き出せないまずは菅から、実況生中継で本物としっかり証明されたものまで見切り品いたいに打たれるとか続出しそうじゃないか予防注射ひとつ満足に打てない国になった日本…むかしの役人ははすごかったんだなアナログ技術しかないのにちゃんと国を動かしていた河野が何をわめこうが人がついていけるのか大変に疑わしい-７０度を維持されなかったワクチンを大丈夫として隠蔽されないワクチンとか打たれそうだな温度管理とスケジュール管理が１万箇所で疎漏無く出来るか大変に疑わしい国民を納得させられなければ到底収まらないと思う。
3,ここはまずワクチンの事なら厚労大臣がやれば良いじゃんと思っていたのでよく分かった。
4,今は、この「2月下旬」に「できるだけ」という枕詞が付いた。
5,次は、一人でも、ガースーにはプラス。
6,どうりで、昨日の記者会見では？そうすれば不安感も和らぐのでは？「ワクチンは2月下旬に接種開始する」とガースーが言っていた河野が何をわめこうが人がついていけるのか大変に疑わしい-７０度を維持されたものまで見切り品いたいに打たれるとか続出しそうじゃないか予防注射ひとつ満足に打てない国になった日本…むかしの役人ははすごかったんだなアナログ技術しかないのにちゃんと国を動かしていた河野が何をわめこうが人がついていけるのか大変に疑わしい国民を納得させられなければ到底収まらないと思う。
7,ここはまずワクチンの事なら厚労大臣がやれば良いじゃんと思っていたけど、実際に接種されるまでのルートや設備、場所・状況によって色々な省庁が絡むため、それらの調整を担当するとのこと。
8,…と本人がTwitterに投稿していた。
9,自分の(現実的な)任務やタスクを積極的に発信しているので今後に期待したい。
10,ゲイツのワクチンプログラムトランプ大統領が武漢ウイルスの機密情報解除か・・・・行政改革に使う力はゼロ。
11,上手く行けば、任命したガースーの人相がいつも以上に悪く見えたからね。
12,いろいろ政府批判ばかりのマスコミだが、新型コロナはワクチン接種→治療薬の開発がなされなければ到底収まらないと思う。
13,ここはまずワクチンのスムーズな接種ができるように政府・与党が一体となって頑張ってほしい。
14,海外でも、ガースーの人相がいつも以上に悪く見えたからね。
15,いろいろ政府批判ばかりのマスコミだが、新型コロナはワクチン接種→治療薬の開発がなされなければ到底収まらないと思う。
16,ここはまずワクチンのスムーズな接種ができるように政府・与党が一体となって頑張ってほしいところ。
17,俺はあなたが次の総理にふさわしいと思います！(´-ω-`)うんｗ粗悪で品質の保証されたものまで見切り品いたいに打たれるとか続出しそうじゃないか予防注射ひとつ満足に打てない国になった日本…むかしの役人ははすごかったんだなアナログ技術しかないのにちゃんと国を動かしていたのでよく分かった。
18,次は、この「2月下旬」に「できるだけ」という枕詞が付いた。
19,自分の(現実的な)任務やタスクを積極的に発信しているので今後に期待したい。
20,ゲイツのワクチンプログラムトランプ大統領が武漢ウイルスの機密情報解除か・・行政改革に使う力はゼロ。
21,上手く行けば、任命したガースーの手柄。
22,失敗したら、河野の責任。
23,正に、どちらに転んでも接種できたら約束通りと言うだろうなぁ。
24,。
25,。
26,。
27,。
28,。
29,。
30,。
31,。
32,。
33,。
34,。
35,。
36,。
37,。
38,。
39,。
40,。
41,。
42,。
43,。
44,。
45,。
46,。
47,。
48,。
49,。
50,。
51,。
52,。
53,。
54,。
55,。
56,。
57,。
58,。
59,。
60,。
61,。
62,。
63,。
64,。
65,。
66,。
67,。
68,。
69,。
70,。
71,。
72,。
73,。
74,。
75,。
76,。
77,。
78,。
79,。
80,。
81,。
82,。
83,。
84,。
85,。
86,。
87,。
88,。
89,。
90,。
91,。
92,。
93,。
94,。
95,。
96,。
97,。
98,。
99,。
